id_category,level_1_category,level_2_category,level_3_category,level_4_category,maps_category,search_level
57,Anthropomo,Hospitality,Accommodations,1 star hotels,Lodge,2
3,Anthropomo,Hospitality,Accommodations,1 star hotels,Alojamiento con servicio,3
60,Anthropomo,Hospitality,Accommodations,1 star hotels,None,2
47,Anthropomo,Hospitality,Accommodations,1 star hotels,Hotel,2
48,Anthropomo,Hospitality,Accommodations,1 star hotels,Hotel de 1 estrella,3
49,Anthropomo,Hospitality,Accommodations,2 star hotels,Hotel de 2 estrellas,3
50,Anthropomo,Hospitality,Accommodations,3 star hotels,Hotel de 3 estrellas,3
51,Anthropomo,Hospitality,Accommodations,4 star hotels,Hotel de 4 estrellas,3
52,Anthropomo,Hospitality,Accommodations,5 star hotels,Hotel de 5 estrellas,3
4,Anthropomo,Hospitality,Accommodations,Apartments,Apartahotel,3
29,Anthropomo,Hospitality,Accommodations,Apartments,Complejo de apartamentos,3
5,Anthropomo,Hospitality,Accommodations,Apartments,Apartamento turístico,3
18,Anthropomo,Hospitality,Accommodations,Camping,Camping,1
32,Anthropomo,Hospitality,Accommodations,Camping,Estacionamiento de caravanas,3
68,Anthropomo,Hospitality,Accommodations,Guesthouses,Pensión,3
20,Anthropomo,Hospitality,Accommodations,Guesthouses,Casa rural,1
2,Anthropomo,Hospitality,Accommodations,Guesthouses,Alojamiento,1
1,Anthropomo,Hospitality,Accommodations,Hostels,Albergue,2
46,Anthropomo,Hospitality,Accommodations,Hostels,Hostal,2
193,Lithomo,Historical and cultural,Art and museums,Art and museums,Sala de exposiciones,3
181,Lithomo,Historical and cultural,Art and museums,Art and museums,Museo,1
154,Lithomo,Historical and cultural,Art and museums,Art and museums,Centro cultural,3
91,Anthropomo,Hospitality,Catering,Restoration,Restaurante japonés,3
80,Anthropomo,Hospitality,Catering,Restoration,Restaurante de comida para llevar,3
74,Anthropomo,Hospitality,Catering,Restoration,Restaurante asiático,3
76,Anthropomo,Hospitality,Catering,Restoration,Restaurante de alta cocina,3
94,Anthropomo,Hospitality,Catering,Restoration,Restaurante mediterráneo,3
7,Anthropomo,Hospitality,Catering,Restoration,Asador de cordero,3
85,Anthropomo,Hospitality,Catering,Restoration,Restaurante especializado en barbacoa,3
77,Anthropomo,Hospitality,Catering,Restoration,Restaurante de cocina castellana,3
78,Anthropomo,Hospitality,Catering,Restoration,Restaurante de cocina española,3
83,Anthropomo,Hospitality,Catering,Restoration,Restaurante de falafeles,3
86,Anthropomo,Hospitality,Catering,Restoration,Restaurante especializado en pollo,3
93,Anthropomo,Hospitality,Catering,Restoration,Restaurante latinoamericano,3
41,Anthropomo,Hospitality,Catering,Restoration,Hamburguesería,3
