id_municipality,name,population,last_poi_update,last_review_extraction
94461,Villamedianilla,9,,
91849,Jaramillo Quemado,12,,
93174,Rezmondo,18,,
92479,Palacios de Riopisuerga,19,,
93811,Tinieblas de la Sierra,20,,
90465,Bascuñana,20,,
92024,Manciles,21,,
94304,Villaespasa,21,,
93109,Reinoso,21,,
90682,Cantabrana,22,,
94234,Vileña,23,,
93689,Sordillos,23,,
94075,Valmala,24,,
92306,Navas de Bureba,24,,
94509,Villanueva de Carazo,24,,
90774,Cascajares de Bureba,25,,
90780,Cascajares de la Sierra,25,,
90525,Berzosa de Bureba,26,,
90835,Castil de Peones,26,,
94228,La Vid de Bureba,26,,
90768,Carrias,26,,
93608,San Vicente del Valle,26,,
93826,Tobar,27,,
92019,Mamolar,27,,
91433,Galbarros,28,,
93654,La Sequera de Haza,28,,
90011,Abajas,28,,
92805,Quintanabureba,29,,
94825,Zarzosa de Río Pisuerga,29,,
91789,Ibrillos,30,,
92693,Pinilla de los Moros,30,,
91025,Cillaperlata,31,,
90367,Bañuelos de Bureba,32,,
90413,Barrio de Muñó,32,,
91558,Haza,33,,
90623,Cabezón de la Sierra,33,,
90829,Castildelgado,34,,
93885,Torrelara,34,,
91448,La Gallega,34,,
93787,Tejada,35,,
90716,Carcedo de Bureba,36,,
91209,Encío,37,,
93272,Rublacedo de Abajo,37,,
92236,Monasterio de la Sierra,38,,
94249,Viloria de Rioja,38,,
94173,Vallejera,38,,
93543,Santa Olalla de Bureba,38,,
92365,Olmillos de Muñó,38,,
91911,Jurisdicción de Lara,39,,
90102,Alcocero de Mola,40,,
94081,Vallarta de Bureba,41,,
94640,Villatuelda,41,,
94786,Vizcaínos,41,,
90709,Carazo,42,,
91003,Cerratón de Juarros,42,,
90559,Brazacorta,43,,
91237,Espinosa del Camino,43,,
94542,Villanueva de Teba,43,,
92655,Piérnigas,43,,
94477,Villamiel de la Sierra,43,,
90217,Arauzo de Salce,44,,
91675,Hornillos del Camino,44,,
90130,Altable,44,,
92833,Quintanaélez,44,,
94458,Villambistia,44,,
94555,Villaquirán de la Puebla,45,,
91834,Jaramillo de la Fuente,45,,
91792,Iglesiarrubia,45,,
91950,Llano de Bureba,45,,
90660,Campolara,46,,
94167,Valle de Zamanzas,46,,
90079,Aguilar de Bureba,46,,
90793,Castellanos de Castro,48,,
93924,Tosantos,48,,
90905,Castrillo Matajudíos,48,,
90275,Arraya de Oca,49,,
92447,Padrones de Bureba,49,,
91335,Fresno de Rodilla,49,,
92313,Nebreda,50,,
92959,Quintanilla del Coco,50,,
94727,Villazopeque,51,,
90503,Berberana,52,,
92498,Palazuelos de Muñó,52,,
91046,Cilleruelo de Arriba,52,,
93752,Tamarón,52,,
94332,Villagalijo,52,,
92390,Oquillas,52,,
91195,Cuevas de San Clemente,52,,
91274,Fontioso,52,,
93983,Úrbel del Castillo,53,,
90471,Belbimbre,53,,
92735,Prádanos de Bureba,54,,
93180,Riocavado de la Sierra,54,,
92002,Mambrillas de Lara,54,,
90222,Arauzo de Torre,55,,
90449,Barrios de Colina,55,,
92267,Monterrubio de la Demanda,55,,
93348,Salinillas de Bureba,55,,
92061,Mazuela,55,,
93116,Retuerta,56,,
90888,Castrillo de Riopisuerga,56,,
91353,Fuentebureba,58,,
94859,Zuñeda,58,,
93804,Terradillos de Esgueva,58,,
91499,Grisaleña,58,,
91767,Hurones,59,,
94445,Villamayor de Treviño,59,,
90948,Cebrecos,60,,
93403,San Millán de Lara,61,,
94290,Villaescusa la Sombría,61,,
90063,Aguas Cándidas,61,,
93235,Rojas,62,,
91926,Jurisdicción de San Zadornil,62,,
94764,Villoruebo,62,,
93569,Santibáñez del Val,64,,
90392,Barbadillo del Pez,64,,
93082,Redecilla del Campo,65,,
92925,Quintanavides,65,,
92984,Quintanilla San García,66,,
93898,Torrepadre,68,,
90119,Alfoz de Bricia,68,,
94672,Villaverde-Mogina,68,,
91307,Fresneña,68,,
91596,Hontanas,69,,
94192,Valluércanes,70,,
93517,Santa María del Invierno,70,,
92426,Padilla de Abajo,71,,
93288,Rucandio,72,,
93556,Santibáñez de Esgueva,72,,
94402,Villalbilla de Gumiel,73,,
93667,Solarana,73,,
93039,Rábanos,73,,
91828,Itero del Castillo,74,,
94189,Valles de Palenzuela,74,,
92557,Partido de la Sierra en Tobalina,75,,
91010,Ciadoncha,77,,
92254,Moncalvillo,77,,
91904,Junta de Villalba de Losa,79,,
93863,Torrecilla del Monte,79,,
90336,Bahabón de Esgueva,80,,
91101,Contreras,81,,
91221,Espinosa de Cervera,81,,
94733,Villegas,83,,
93351,San Adrián de Juarros,84,,
92432,Padilla de Arriba,86,,
92576,Pedrosa del Páramo,88,,
91176,La Cueva de Roa,89,,
91391,Fuentemolinos,89,,
91059,Ciruelos de Cervera,90,,
90951,Celada del Camino,91,,
94419,Villaldemiro,92,,
92668,Pineda de la Sierra,92,,
91600,Hontangas,92,,
92208,Miraveche,92,,
91669,Las Hormazas,93,,
93462,Santa Cruz del Valle Urbión,94,,
93023,Rabanera del Pinar,94,,
91123,Coruña del Conde,95,,
91280,Frandovínez,95,,
94287,Villaescusa de Roa,95,,
90320,Avellanosa de Muñó,95,,
92674,Pineda Trasmonte,95,,
92485,Palazuelos de la Sierra,95,,
93142,Revilla del Campo,96,,
91388,Fuentelisendo,96,,
93121,La Revilla y Ahedo,97,,
93538,Santa María Rivarredonda,97,,
93076,Redecilla del Camino,98,,
91293,Fresneda de la Sierra Tirón,98,,
93060,Rebolledo de la Torre,100,,
92680,Pinilla de los Barruecos,100,,
90546,Bozoó,101,,
91157,Cubo de Bureba,102,,
90124,Alfoz de Santa Gadea,102,,
91694,Hortigüela,103,,
94038,Valdeande,103,,
90373,Barbadillo de Herreros,103,,
91144,Cubillo del Campo,103,,
91998,Mambrilla de Castrejón,105,,
90755,Cardeñuela Riopico,106,,
93431,Santa Cecilia,107,,
90161,Ameyugo,107,,
91985,Mahamud,107,,
92946,Quintanilla de la Mata,109,,
92539,Pardilla,109,,
94666,Villaverde del Monte,112,,
93168,Revilla Vallejera,112,,
92328,Neila,113,,
91754,Humada,114,,
91486,Grijalba,114,,
94094,Valle de Manzanedo,115,,
93749,Susinos del Páramo,115,,
90256,Arija,115,,
94056,Valdezate,115,,
92772,Puentedura,117,,
94311,Villafranca Montes de Oca,117,,
94803,Zael,117,,
94496,Villanueva de Argaño,117,,
91890,Junta de Traslaloma,118,,
93522,Santa María del Mercadillo,119,,
91736,Huerta de Arriba,121,,
92886,Quintanapalla,123,,
93958,Tubilla del Agua,126,,
93291,Salas de Bureba,129,,
93879,Torregalindo,130,,
93615,Sargentes de la Lora,130,,
90389,Barbadillo del Mercado,134,,
91806,Iglesias,136,,
91405,Fuentenebro,137,,
93399,San Martín de Rubiales,137,,
92273,Montorio,138,,
90601,Busto de Bureba,140,,
94326,Villafruela,140,,
91963,Madrigal del Monte,141,,
90308,Los Ausines,143,,
90618,Cabañes de Esgueva,145,,
91545,Hacinas,145,,
93459,Santa Cruz de la Salceda,148,,
92812,Quintana del Pidio,150,,
91643,Hontoria de Valdearados,152,,
92707,Pinilla Trasmonte,152,,
93484,Santa Inés,153,,
94568,Villaquirán de los Infantes,154,,
92582,Pedrosa del Príncipe,155,,
90243,Arenillas de Riopisuerga,156,,
91329,Fresno de Río Tirón,156,,
94430,Villamayor de los Montes,157,,
90196,Arandilla,157,,
90840,Castrillo de la Reina,159,,
91720,Huérmeces,159,,
94115,Valle de Oca,160,,
91979,Madrigalejo del Monte,160,,
93370,San Juan del Monte,163,,
93961,Tubilla del Lago,164,,
90177,Anguix,166,,
92289,Moradillo de Roa,167,,
93253,Royuela de Río Franco,169,,
92621,Peral de Arlanza,169,,
92241,Monasterio de Rodilla,171,,
91622,Hontoria de la Cantera,172,,
90657,Campillo de Aranda,175,,
92083,Mecerreyes,176,,
90145,Los Altos,177,,
90294,Atapuerca,178,,
90434,Los Barrios de Bureba,179,,
94607,Villasandino,179,,
93478,Santa Gadea del Cid,180,,
90933,Cayuela,186,,
94141,Valle de Valdelaguna,187,,
92352,Olmedillo de Roa,188,,
90578,Bugedo,193,,
94831,Zazuar,198,,
90032,Adrada de Haza,200,,
92292,Nava de Roa,202,,
93327,Saldaña de Burgos,203,,
90510,Berlangas de Roa,204,,
93266,Rubena,207,,
94712,Villayerno Morquillas,208,,
91708,Hoyales de Roa,208,,
91031,Cilleruelo de Abajo,209,,
92753,Presencio,212,,
90098,Albillos,220,,
94483,Villangómez,229,,
94213,La Vid y Barrios,237,,
92791,Quemada,242,,
90639,Cavia,246,,
91366,Fuentecén,246,,
93581,Santo Domingo de Silos,251,,
91340,Frías,258,,
93044,Rabé de las Calzadas,259,,
90200,Arauzo de Miel,260,,
93620,Sarracín,261,,
92595,Pedrosa de Río Úrbel,262,,
94379,Villahoz,262,,
92138,Merindad de Cuesta-Urria,263,,
94635,Villasur de Herreros,269,,
90452,Basconcillos del Tozo,276,,
92729,Poza de la Sal,278,,
91813,Isar,279,,
94516,Villanueva de Gumiel,281,,
92501,Pampliega,281,,
93847,Tordómar,290,,
91372,Fuentelcésped,290,,
91681,La Horra,295,,
92870,Quintanaortuño,297,,
90341,Los Balbases,298,,
93728,Sotragero,300,,
93095,Regumiel de la Sierra,304,,
90354,Baños de Valdearados,322,,
93386,San Mamés de Burgos,323,,
99012,Quintanilla del Agua y Tordueles,336,,
92411,Orbaneja Riopico,341,,
94154,Valle de Valdelucio,342,,
93919,Tórtoles de Esgueva,362,,
94000,Vadocondes,368,,
91524,Gumiel de Mercado,376,,
94069,Valdorros,377,,
92175,Merindad de Valdivielso,384,,
90644,Caleruega,385,,
92978,Las Quintanillas,386,,
99051,Valle de Sedano,402,,
94424,Villalmanzo,409,,
92181,Milagros,409,,
90676,Canicosa de la Sierra,410,,
92169,Merindad de Valdeporres,412,,
93734,Sotresgudo,413,,
90269,Arlanzón,425,,
92518,Pancorbo,431,,
92560,Pedrosa de Duero,458,,
90986,Cerezo de Río Tirón,467,,
93692,Sotillo de la Ribera,468,,
92616,Peñaranda de Duero,470,,
94136,Valle de Valdebezana,479,,
99027,Valle de Santibáñez,482,,
99086,Valle de Losa,486,,
91139,Covarrubias,501,,
93500,Santa María del Campo,508,,
94252,Vilviestre del Pinar,511,,
90721,Carcedo de Burgos,513,,
99048,Valle de las Navas,549,,
92766,La Puebla de Arganzón,565,,
93902,Torresandino,565,,
91519,Gumiel de Izán,587,,
91638,Hontoria del Pinar,613,,
93155,Revillarruz,621,,
90853,Castrillo de la Vega,626,,
90584,Buniel,632,,
91255,Estépar,646,,
92463,Palacios de la Sierra,662,,
91084,Cogollos,687,,
91314,Fresnillo de las Dueñas,703,,
94385,Villalba de Duero,720,,
93945,Trespaderne,721,,
92143,Merindad de Montija,723,,
94580,Villariezo,731,,
92215,Modúbar de la Emparedada,773,,
90912,Castrojeriz,794,,
91412,Fuentespina,833,,
90866,Castrillo del Val,858,,
93771,Tardajos,862,,
94120,Valle de Tobalina,877,,
91741,Huerta de Rey,889,,
93018,Quintanilla Vivar,890,,
93636,Sasamón,898,,
92387,Oña,938,,
90742,Cardeñajimeno,1185,,
99064,Merindad de Río Ubierna,1400,,
90737,Cardeñadijo,1445,,
94271,Villadiego,1453,,
91097,Condado de Treviño,1468,,
92899,Quintanar de la Sierra,1474,,
91773,Ibeas de Juarros,1492,,
94398,Villalbilla de Burgos,1554,,
91242,Espinosa de los Monteros,1627,,
90238,Arcos,1823,,
90487,Belorado,1823,,
94347,Villagonzalo Pedernales,1903,,
93305,Salas de los Infantes,1959,,
99070,Alfoz de Quintanadueñas,2158,,
93214,Roa,2276,,
91947,Lerma,2629,,
99033,Villarcayo de Merindad de Castilla la Vieja,4103,,
94108,Valle de Mena,4155,,
92096,Medina de Pomar,6190,,
90562,Briviesca,6728,,
90183,Aranda de Duero,33956,,
92194,Miranda de Ebro,36622,,
92156,Merindad de Sotoscueva,399,,
92117,Melgar de Fernamental,1496,,
90597,Burgos,177402,,
92740,Pradoluengo,1090,,
