id_municipality,municipality_name,postal_code
91926,Jurisdicción de San Zadornil,01427
92479,Palacios de Riopisuerga,09107
91828,Itero del Castillo,09107
90905,Castrillo Matajudíos,09107
90243,Arenillas de Riopisuerga,09107
90888,Castrillo de Riopisuerga,09108
94825,Zarzosa de Río Pisuerga,09108
93174,Rezmondo,09108
92432,Padilla de Arriba,09108
92426,Padilla de Abajo,09109
94607,Villasandino,09109
92582,Pedrosa del Príncipe,09119
94555,Villaquirán de la Puebla,09119
90341,Los Balbases,09119
93983,Úrbel del Castillo,09125
92273,Montorio,09125
94154,Valle de Valdelucio,09127
93689,Sordillos,09128
94733,Villegas,09128
94445,Villamayor de Treviño,09128
91486,Grijalba,09128
93044,Rabé de las Calzadas,09130
93771,Tardajos,09130
92595,Pedrosa de Río Úrbel,09131
92978,Las Quintanillas,09131
93749,Susinos del Páramo,09133
93826,Tobar,09133
92576,Pedrosa del Páramo,09133
92024,Manciles,09133
92870,Quintanaortuño,09140
93018,Quintanilla Vivar,09140
90011,Abajas,09141
94167,Valle de Zamanzas,09146
91767,Hurones,09191
94712,Villayerno Morquillas,09191
90755,Cardeñuela Riopico,09192
92411,Orbaneja Riopico,09192
90737,Cardeñadijo,09194
94580,Villariezo,09195
94347,Villagonzalo Pedernales,09195
93351,San Adrián de Juarros,09198
90449,Barrios de Colina,09199
90294,Atapuerca,09199
92668,Pineda de la Sierra,09199
90269,Arlanzón,09199
94635,Villasur de Herreros,09199
93266,Rubena,09199
91340,Frías,09211
92557,Partido de la Sierra en Tobalina,09211
91025,Cillaperlata,09213
90161,Ameyugo,09219
93538,Santa María Rivarredonda,09219
94542,Villanueva de Teba,09219
94192,Valluércanes,09219
93478,Santa Gadea del Cid,09219
90130,Altable,09219
90413,Barrio de Muñó,09226
94727,Villazopeque,09226
94672,Villaverde-Mogina,09226
90951,Celada del Camino,09226
94568,Villaquirán de los Infantes,09226
90471,Belbimbre,09226
92498,Palazuelos de Muñó,09226
90793,Castellanos de Castro,09227
91596,Hontanas,09227
91806,Iglesias,09227
94419,Villaldemiro,09227
93752,Tamarón,09227
92753,Presencio,09228
91985,Mahamud,09228
92365,Olmillos de Muñó,09228
92061,Mazuela,09228
91010,Ciadoncha,09228
91675,Hornillos del Camino,09230
93386,San Mamés de Burgos,09230
91280,Frandovínez,09230
