poi_id,poi_name,id_municipality,poi_municipality,address,postal_code,id_category,maps_category,poi_total_rating,tori_score,reviews_count,reviews_dist_5star,reviews_dist_4star,reviews_dist_3star,reviews_dist_2star,reviews_dist_1star,latitude,longitude,location,price,images_count,temporarily_closed,permanently_closed,last_poi_update,last_review_extraction,claim_business,wheelchair_accessible
ChIJg5foLTr9RQ0ROXsVWjWo8mg,Bar Pecados del Froy,90597,Burgos,,,9,Bar de tapas,3.8,,267,120,60,29,19,39,42.3410531,-3.7026994,POINT(-3.7026994 42.3410531),,159,false,false,2026-05-06 11:39:23.166155 UTC,2026-06-15 23:19:27.128141 UTC,false,false
ChIJLeMrPcP8RQ0RsDMxZuKoy-Y,Centro de Estética María García,90597,Burgos,,,22,Centro de estética,4.8,,76,0,0,0,0,0,42.3512256,-3.6914717,POINT(-3.6914717 42.3512256),,14,false,false,2026-05-01 22:13:30.565738 UTC,,false,false
ChIJb3oAd9b8RQ0R-GJvF8svXMs,Golden Rock and Beer,90597,Burgos,,,23,Cervecería,4.6,,1750,1252,343,79,30,46,42.3390928,-3.70072,POINT(-3.70072 42.3390928),$,734,false,false,2026-05-06 11:39:38.612179 UTC,,false,false
ChIJyaw7qdr8RQ0RfvcwZiZF9h8,Clínica Dental Isabel Pérez,90597,Burgos,,,24,Clínica dental,4.8,,176,0,0,0,0,0,42.3445133,-3.6935729,POINT(-3.6935729 42.3445133),,46,false,false,2026-05-01 22:14:19.230890 UTC,,false,false
ChIJres0Mtb8RQ0Rf-GcwjLnAHY,Farmacia La Botica de Macarena,90597,Burgos,,,34,Farmacia,4.2,,27,0,0,0,0,0,42.3414092,-3.7020701,POINT(-3.7020701 42.3414092),,10,false,false,2026-05-07 20:26:46.758780 UTC,,false,false
ChIJw8RlXrz8RQ0RyO24b3xTDxQ,Floristería Érica - Burgos,90597,Burgos,,,36,Floristería,4.8,,158,0,0,0,0,0,42.3512974,-3.6754503,POINT(-3.6754503 42.3512974),,76,false,false,2026-05-01 22:02:19.164692 UTC,,false,false
ChIJT53hjc38RQ0RXNpwWN1EDlA,Librería Begoña,90597,Burgos,,,56,Librería,4.7,,39,0,0,0,0,0,42.3379557,-3.692181,POINT(-3.692181 42.3379557),,7,false,false,2026-05-01 22:03:33.127203 UTC,,false,false
ChIJ_wuru5P8RQ0RAQ9IeNNx3Ho,LIBRERÍA G3 (Inés),90597,Burgos,,,56,Librería,4.7,,113,0,0,0,0,0,42.3606902,-3.6800266,POINT(-3.6800266 42.3606902),,24,false,false,2026-05-01 22:03:31.730221 UTC,,false,false
ChIJw48ZA_L9RQ0RVHDQo2nGyTU,EMEYS,90597,Burgos,,,70,Pizzería,4.3,,114,87,7,4,1,15,42.3506588,-3.6735362,POINT(-3.6735362 42.3506588),,15,false,false,2026-05-06 11:38:57.570203 UTC,,true,false
ChIJc-GQo8b8RQ0R7ajytq6O1lk,Restaurante Blue Gallery,90597,Burgos,,,73,Restaurante,4.6,,596,0,0,0,0,0,42.3502314,-3.6852978,POINT(-3.6852978 42.3502314),€20-70,811,false,false,2026-05-06 11:38:42.252744 UTC,,false,false
ChIJq6N-ttf8RQ0RQvDsYRWVfI0,Restaurante Mesón Los Herreros,90597,Burgos,,,73,Restaurante,4.3,,4736,0,0,0,0,0,42.341861,-3.7014712,POINT(-3.7014712 42.341861),€10-20,4319,false,false,2026-05-06 11:38:59.306857 UTC,,false,false
ChIJ10HihMT8RQ0RjprNIilvRHo,Bodega El Portillo,90597,Burgos,,,73,Restaurante,4.6,9.0853496613563038,321,0,0,0,0,0,42.3488404,-3.6906308,POINT(-3.6906308 42.3488404),€10-20,80,false,false,2026-05-01 21:58:09.894875 UTC,2026-06-15 23:25:24.610607 UTC,false,false
ChIJt1Ve6Y39RQ0RxX-Gii_rIEE,Restaurante Asiático - EL CUENCO DORADO,90597,Burgos,,,74,Restaurante asiático,4.5,,827,592,137,49,18,31,42.3414096,-3.7045057,POINT(-3.7045057 42.3414096),$$,1189,false,false,2026-05-06 11:39:08.895063 UTC,,false,false
ChIJuY_YbYUHRg0RwFweqMtThbA,Roycha Burgos,90597,Burgos,,,112,Tienda de bricolaje,4.3,,50,0,0,0,0,0,42.3706909,-3.7007454,POINT(-3.7007454 42.3706909),,98,false,false,2026-05-01 21:54:00.373325 UTC,,false,false
ChIJf5vQUNb8RQ0RIq8fo0_nruc,Voynich Museum y Museo del Cid,90597,Burgos,"Travesia del Mercado, 3, Bajo, 09003 Burgos, España",9003,181,Museo,4.7,,45,0,0,0,0,0,42.341181,-3.7007603,POINT(-3.7007603 42.341181),,13,true,false,2026-06-18 21:12:23.432769 UTC,,true,true
ChIJg1z9WQj9RQ0RbS31_kdXEKI,Parque Infantil de la Isla,90597,Burgos,"Unnamed Road, 09003 Burgos, España",9003,204,Parque infantil,4.8,,28,0,0,0,0,0,42.3394628,-3.7132113,POINT(-3.7132113 42.3394628),,84,false,false,2026-06-18 20:24:01.723238 UTC,,true,true
ChIJW-yOruH7RQ0RPmE0S1VqMGA,Parque La Ventilla,90597,Burgos,"Pl. Vista Alegre, 2, 09007 Villayuda, Burgos, España",9007,204,Parque infantil,5.0,,2,0,0,0,0,0,42.3446153,-3.6507574,POINT(-3.6507574 42.3446153),,2,false,false,2026-06-18 20:24:01.834381 UTC,,true,true
ChIJRTW_tKaaTw0Rl1afN5zOxo0,Bar La Clave,92194,Miranda de Ebro,"Parque Antonio Cabezón, 6, 09200 Miranda de Ebro, Burgos, España",9200,8,Bar,4.3,,250,149,56,26,5,14,42.6844604,-2.9415452,POINT(-2.9415452 42.6844604),$,30,false,false,2026-05-28 18:42:47.863245 UTC,2026-06-15 21:40:01.590699 UTC,false,false
ChIJU6X1rn-bTw0RVbeaKiEbbhI,Tecai,92194,Miranda de Ebro,"El Cid, 3, 09200 Miranda de Ebro, Burgos, España",9200,8,Bar,0.0,,0,0,0,0,0,0,42.685886,-2.9437636,POINT(-2.9437636 42.685886),,1,false,false,2026-05-28 18:43:08.381648 UTC,2026-06-15 22:44:47.162118 UTC,false,false
ChIJ_____6KaTw0R6otHNjIQmdk,BAR MESÓN LA HIGUERA,92194,Miranda de Ebro,"Casa de los Urbina, C. de la Independencia, s/n, 09200 Miranda de Ebro, Burgos, España",9200,9,Bar de tapas,4.7,8.8632617330128731,1206,926,204,42,9,25,42.6829237,-2.951496,POINT(-2.951496 42.6829237),€10-20,459,false,false,2026-06-16 01:29:48.168037 UTC,2026-06-15 21:31:51.461420 UTC,false,false
ChIJMe4bz2ybTw0RHektoFWBSLg,Magnolia Cafe,92194,Miranda de Ebro,"C. Gregorio Marañón, 1, 09200 Miranda de Ebro, Burgos, España",9200,17,Cafetería,4.3,,180,111,37,18,6,8,42.6863391,-2.9375178,POINT(-2.9375178 42.6863391),$,57,false,false,2026-06-16 01:35:17.689438 UTC,2026-06-15 22:27:55.397662 UTC,false,false
ChIJ9zc4SKCaTw0RSEaLpcT4VXg,Goloseo 🍭🍬,92194,Miranda de Ebro,"C. Logroño, 20, 09200 Miranda de Ebro, Burgos, España",9200,27,Comercio,4.6,9.3801051432383247,90,72,12,1,1,4,42.6882304,-2.93956,POINT(-2.93956 42.6882304),,169,false,false,2026-06-16 01:32:45.482503 UTC,2026-06-15 22:17:10.770635 UTC,false,false
ChIJQZDavLabTw0Rres-ZFPLP-I,ACERO grados,92194,Miranda de Ebro,"Parque Antonio Machado, 6, C. de la Vega, 5, 09200 Miranda de Ebro, Burgos, España",9200,42,Heladería,3.8,8.425247440696694,33,20,4,0,2,7,42.6878987,-2.9459782,POINT(-2.9459782 42.6878987),,7,false,false,2026-06-16 01:34:10.705374 UTC,2026-06-04 19:22:04.167580 UTC,false,false
ChIJK9f4VKKaTw0RSdom4ClOAmE,MIRANDA PARFUMS,92194,Miranda de Ebro,"C. La Estación, 32, 09200 Miranda de Ebro, Burgos, España",9200,69,Perfumería,4.0,,5,2,2,0,1,0,42.6871734,-2.9447034,POINT(-2.9447034 42.6871734),,0,false,false,2026-06-16 01:34:45.366320 UTC,,true,false
ChIJMc7J5byaTw0RRAv2GQYzBos,Mercadona,92194,Miranda de Ebro,"C. Colón, 3, 09200 Miranda de Ebro, Burgos, España",9200,99,Supermercado,4.1,,1436,0,0,0,0,0,42.6865395,-2.9481876,POINT(-2.9481876 42.6865395),,164,false,false,2026-06-16 01:32:39.735617 UTC,,false,false
ChIJYyh44qOaTw0Rt3zyEma7hOY,Carlos Zárate Droguería,92194,Miranda de Ebro,,,113,"Tienda de comestibles, periódicos y medicamentos",5.0,,1,0,0,0,0,0,42.6853672,-2.9428032,POINT(-2.9428032 42.6853672),,1,false,false,2026-05-07 20:57:49.446714 UTC,2026-06-15 22:02:15.718344 UTC,true,false
ChIJxd76aKWbTw0RyXROrplcB-4,Calzados PASITOS,92194,Miranda de Ebro,"C. del Cid, 14, 09200 Miranda de Ebro, Burgos, España",9200,129,Zapatería,3.0,,6,2,1,0,1,2,42.6854135,-2.9435523,POINT(-2.9435523 42.6854135),,16,false,false,2026-06-16 01:35:53.036629 UTC,,true,false
ChIJVUZHa6OaTw0RxdbfZN94zzU,OPTICA MIRANDA,92194,Miranda de Ebro,"C. Ramón y Cajal, 5, 09200 Miranda de Ebro, Burgos, España",9200,130,Óptica,4.7,,24,22,0,0,0,2,42.6857302,-2.9460497,POINT(-2.9460497 42.6857302),,6,false,false,2026-06-16 01:34:45.367948 UTC,,false,false
ChIJHelG1MabTw0R9fDhj3zykwU,El Txoko,92194,Miranda de Ebro,"Tr.ª Carlos III, 1, Bajo 1, 09200 Miranda de Ebro, Burgos, España",9200,227,Salón para eventos,4.4,,31,19,8,1,2,1,42.6865581,-2.9489507,POINT(-2.9489507 42.6865581),,11,false,false,2026-05-28 18:43:25.161311 UTC,2026-06-15 22:10:41.519599 UTC,false,false
ChIJu499-0ebTw0RlKVgdB_2Zqg,Punto Pack InPost,92194,Miranda de Ebro,"C. Real Allende, 22, 09200 Miranda de Ebro, Burgos, España",9200,251,Servicio de envíos,0.0,,0,0,0,0,0,0,42.68419,-2.94965,POINT(-2.94965 42.68419),,1,true,false,2026-06-16 01:34:48.998033 UTC,,false,false
ChIJXXOJKKKaTw0RRncSr4EK0zA,FINCAS TORRECILLA,92194,Miranda de Ebro,"C. Ramón y Cajal, 40, 09200 Miranda de Ebro, Burgos, España",9200,254,Agencia inmobiliaria,4.7,,236,212,5,5,3,11,42.687585,-2.942662,POINT(-2.942662 42.687585),,415,false,false,2026-06-16 01:29:49.921512 UTC,,false,false
ChIJCZ_czsObTw0RFZf2aVucMes,Mercería Dedal,92194,Miranda de Ebro,"C. Fidel Garcia, 9, 09200 Miranda de Ebro, Burgos, España",9200,282,Mercería,4.0,,3,1,1,1,0,0,42.685422,-2.946893,POINT(-2.946893 42.685422),,6,false,false,2026-06-16 01:34:45.367723 UTC,,true,false
